year(date),month(date),monthname(date),quarter(date),Revenue,Gross_Profit,Transactions
2022,1,January,1,118808.5338,31005.9838,6
2022,2,February,1,4294331.6632,1534571.6232,4
2022,3,March,1,196569.5852,44880.2552,11
2022,4,April,2,127328.4720,27887.9020,4
2022,5,May,2,301443.6873,69390.8673,9
2022,6,June,2,84460.2549,29823.8249,6
2022,7,July,3,310354.3743,55222.8243,13
2022,8,August,3,304512.0365,70633.7165,11
2022,9,September,3,326117.4873,59231.8373,8
2022,10,October,4,204870.7617,41179.5417,12
2022,11,November,4,139110.4953,32757.6253,7
2022,12,December,4,117855.0175,39318.7175,6
2023,1,January,1,103966.7502,30732.7002,5
2023,2,February,1,86319.6012,26504.1112,3
2023,3,March,1,153908.0020,36001.4520,7
2023,4,April,2,136895.0753,22822.3853,11
2023,5,May,2,275614.4106,79127.5806,8
2023,6,June,2,118527.3654,42892.5054,6
2023,7,July,3,168253.7452,51379.0652,8
2023,8,August,3,84082.6766,16386.6266,8
2023,9,September,3,82849.9284,20127.3384,7
2023,10,October,4,119836.6127,27808.0027,5
2023,11,November,4,195920.3055,36214.6155,12
2023,12,December,4,121717.9374,11933.7374,4
2024,1,January,1,235571.5538,64243.2938,14
2024,2,February,1,192001.0711,35651.7311,11
2024,3,March,1,212282.1436,70631.8836,7
2024,4,April,2,183625.3761,52993.3461,10
2024,5,May,2,62960.6306,16987.7706,4
2024,6,June,2,190111.5247,57375.1147,9
2024,7,July,3,202775.7619,63036.0219,10
2024,8,August,3,206074.5470,55974.6570,8
2024,9,September,3,151433.5006,38816.2506,9
2024,10,October,4,173010.0018,53056.8618,8
2024,11,November,4,90482.5661,29109.7361,3
2024,12,December,4,248648.9489,57538.4689,6
